id,lon,lat
0,116.3894407,39.9062721
1,116.386428,39.9061687
2,116.3930703,39.906394
3,116.3970962,39.9065222
4,116.3970144,39.9064252
5,116.3970911,39.9066233
6,116.3970859,39.9067276
7,116.3970837,39.9067717
8,116.3970735,39.9068948
9,116.3970709,39.906928
10,116.3970665,39.9070178
11,116.3970561,39.9072276
12,116.3970507,39.9073363
13,116.3970478,39.9073948
14,116.397039,39.9075743
15,116.397023,39.9078986
16,116.3970145,39.9080702
17,116.3969581,39.9092118
18,116.3969443,39.9094919
19,116.3969067,39.9102534
20,116.3968874,39.9106432
21,116.3898158,39.8987502
22,116.3895438,39.8988863
23,116.3934609,39.8988716
24,116.3933824,39.9002251
25,116.39337,39.9003531
26,116.393354,39.9005829
27,116.3855782,39.9019869
28,116.3857511,39.9019465
29,116.3858902,39.9018892
30,116.3862835,39.9016947
31,116.3865423,39.9015576
32,116.3867186,39.9014882
33,116.3868883,39.9014526
34,116.3871101,39.9014347
35,116.3877869,39.9014476
36,116.3855838,39.9021648
37,116.3855688,39.9024817
38,116.385483,39.9042994
39,116.3854401,39.9052077
40,116.3854221,39.9055741
41,116.385426,39.9056355
42,116.3854296,39.9056929
43,116.3854802,39.9018827
44,116.3854246,39.901774
45,116.3854246,39.9017386
46,116.3855622,39.8989751
47,116.3834224,39.89891
48,116.3818892,39.8988628
49,116.3867923,39.8990026
50,116.3857591,39.8989795
51,116.3818619,39.8988605
52,116.3779918,39.8987474
53,116.3753701,39.8986864
54,116.3766593,39.9058516
55,116.3765808,39.9060076
56,116.3765605,39.9060918
57,116.3761675,39.9079278
58,116.3760814,39.9058599
59,116.3755958,39.9058558
60,116.3778503,39.9005436
61,116.3778356,39.9014241
62,116.3778094,39.9018086
63,116.3777893,39.9022187
64,116.377788,39.9024955
65,116.3778874,39.900139
66,116.3776254,39.9004879
67,116.3771903,39.9004907
68,116.3762331,39.9005226
69,116.3777633,39.9029395
70,116.3777062,39.9035525
71,116.3771868,39.9028889
72,116.3761696,39.902873
73,116.3817558,39.900629
74,116.3817133,39.9010691
75,116.381798,39.9002422
76,116.3818157,39.8998235
77,116.3818641,39.8990651
78,116.3822005,39.9006785
79,116.4004073,39.9066074
80,116.4004137,39.9068092
81,116.4004305,39.9072583
82,116.4004486,39.9074912
83,116.4000257,39.9065976
84,116.4117218,39.9069468
85,116.4099651,39.9068755
86,116.4052788,39.9067581
87,116.4052787,39.9068389
88,116.4052786,39.9068944
89,116.4052558,39.907575
90,116.4118329,39.9048304
91,116.4120161,39.9027264
92,116.4120689,39.902231
93,116.4120936,39.9019997
94,116.4121062,39.9018813
95,116.4121211,39.9012267
96,116.4121218,39.9011964
97,116.3192982,39.9096927
98,116.3193448,39.9122476
99,116.3219606,39.9121982
100,116.3177595,39.9097205
101,116.3160883,39.9097599
102,116.3285234,39.9098111
103,116.3283266,39.9097623
104,116.3278474,39.9096342
105,116.3287274,39.9093259
106,116.3287814,39.9091961
107,116.328912,39.9089096
108,116.3471527,39.9638588
109,116.3473067,39.9671179
110,116.3638695,39.966728
111,116.315387,39.9062149
112,116.3150712,39.9062164
113,116.3149447,39.9062175
114,116.3107059,39.9062558
115,116.3227946,39.9096329
116,116.3639092,39.9662639
117,116.3285085,39.9169027
118,116.3286929,39.9169055
119,116.3284946,39.915918
120,116.3286935,39.9168164
121,116.328511,39.9178324
122,116.3388295,39.9170486
123,116.3471769,39.9170618
124,116.3499229,39.9277429
125,116.3498057,39.9302566
126,116.3497426,39.9318112
127,116.3496278,39.9346203
128,116.349618,39.9349576
129,116.3493741,39.9402687
130,116.3493218,39.9406788
131,116.3493316,39.9410323
132,116.3493868,39.9412139
133,116.3494633,39.9414129
134,116.3497857,39.9418676
135,116.3499119,39.9421294
136,116.349993,39.9423255
137,116.3500587,39.9427841
138,116.3494173,39.9407366
139,116.3494912,39.9410351
140,116.3496121,39.9413376
141,116.3498562,39.9416304
142,116.3501289,39.9420037
143,116.3504287,39.9422756
144,116.3506524,39.9424359
145,116.3510901,39.942645
146,116.351802,39.9428581
147,116.3501458,39.9476852
148,116.3500857,39.9480604
149,116.3500264,39.948515
150,116.3499378,39.9488665
151,116.3496843,39.949634
152,116.3493638,39.9506158
153,116.3492859,39.9509481
154,116.3492006,39.9513078
155,116.3491335,39.9518333
156,116.3490214,39.9542929
157,116.3490159,39.954785
158,116.3488619,39.9585562
159,116.3488127,39.9599117
160,116.4102914,39.993712
161,116.4092023,39.9906544
162,116.4089578,39.9901152
163,116.3945787,39.9933535
164,116.3945891,39.9931907
