traj_id,dis1,time_period_x,time_period_y,time_period_mid,dis1_res,dis2_res
99,6.889495613547016,13,13,13.0,0.3716664751313431,0.5416666666666666
100,3.8301298788055482,13,13,13.0,0.20662338017194845,0.5416666666666666
101,3.1104347134032064,14,14,14.0,0.16779810466583003,0.5833333333333334
102,3.7911671914900262,16,16,16.0,0.20452146655323156,0.6666666666666666
103,4.234464040467604,17,17,17.0,0.22843592800848792,0.7083333333333334
104,5.079014329029766,17,17,17.0,0.2739967420982515,0.7083333333333334
106,3.214004316313344,1,1,1.0,0.17338535682528755,0.041666666666666664
107,0.754755583273811,4,4,4.0,0.040716674043523415,0.16666666666666666
108,1.4491694982206695,5,5,5.0,0.07817810613195737,0.20833333333333334
109,4.150156406683946,6,6,6.0,0.2238877980970002,0.25
110,2.276223254031716,12,12,12.0,0.12279503767655461,0.5
111,2.8898669268879353,12,12,12.0,0.15589917093540448,0.5
113,4.550671537313117,13,14,13.5,0.24549432130096446,0.5625
114,2.510870097029908,14,14,14.0,0.1354534919277412,0.5833333333333334
115,2.2085756688283924,15,15,15.0,0.11914566463765923,0.625
116,1.473213685491138,15,15,15.0,0.07947521390754561,0.625
118,1.3231842626364445,16,16,16.0,0.07138160156112806,0.6666666666666666
119,2.557603795825859,16,17,16.5,0.13797462701159077,0.6875
120,3.9139271262444937,17,17,17.0,0.2111439763561018,0.7083333333333334
121,3.2659166004226745,20,20,20.0,0.17618586019058374,0.8333333333333334
122,2.81082192253649,20,20,20.0,0.15163494321947768,0.8333333333333334
123,2.6275698619005117,21,21,21.0,0.1417490747528217,0.875
124,4.5359822900192235,21,22,21.5,0.24470188291791087,0.8958333333333334
127,2.3034212870948036,23,23,23.0,0.12426228544708613,0.9583333333333334
128,2.7039371227853253,23,23,23.0,0.14586884668687788,0.9583333333333334
129,2.7120701115626344,11,12,11.5,0.14630759568110058,0.4791666666666667
130,9.627184751621195,12,12,12.0,0.5193561361789009,0.5
131,6.312159438237996,13,13,13.0,0.34052101640995475,0.5416666666666666
132,5.519923039061759,13,14,13.5,0.29778237101861454,0.5625
133,1.9058918080141964,14,14,14.0,0.10281682869112764,0.5833333333333334
134,1.5575236699668353,15,15,15.0,0.08402347063142615,0.625
135,3.661667015037893,15,16,15.5,0.19753534205143058,0.6458333333333334
137,1.7491666228936043,16,16,16.0,0.09436200117029432,0.6666666666666666
139,5.589470308259639,20,20,20.0,0.3015342259943199,0.8333333333333334
140,4.012803554523949,20,20,20.0,0.21647804660355816,0.8333333333333334
142,0.8749629774553676,21,21,21.0,0.047201482364227366,0.875
143,2.4061037026717793,21,21,21.0,0.12980167665889328,0.875
144,3.3914266851556594,7,7,7.0,0.18295673187739048,0.2916666666666667
146,5.133675671670556,9,9,9.0,0.27694554846737107,0.375
147,2.9448868681246854,9,9,9.0,0.15886732256339695,0.375
149,3.3742841909834627,11,11,11.0,0.18203194859261532,0.4583333333333333
150,4.29746166278706,11,11,11.0,0.23183445027230762,0.4583333333333333
151,3.3101124097135464,15,16,15.5,0.17857008417098896,0.6458333333333334
154,3.954565743925231,8,8,8.0,0.21333630111176466,0.3333333333333333
156,3.947117740842742,9,10,9.5,0.2129345049270058,0.3958333333333333
157,2.4725759181970792,10,10,10.0,0.13338764222506333,0.4166666666666667
158,2.385222019982948,11,11,11.0,0.12867517599250075,0.4583333333333333
160,1.520600497547482,13,13,13.0,0.08203158238393475,0.5416666666666666
164,1.862012542838255,15,15,15.0,0.10044968126349478,0.625
167,1.7195833313395652,7,7,7.0,0.09276607625627703,0.2916666666666667
168,1.4642961942748776,8,8,8.0,0.07899414349059881,0.3333333333333333
169,0.9833667789054363,8,8,8.0,0.05304952422908631,0.3333333333333333
170,4.035065909338456,8,9,8.5,0.21767903015970724,0.3541666666666667
171,4.273999432012157,9,10,9.5,0.23056873720708992,0.3958333333333333
172,3.2038907291155923,10,10,10.0,0.17283976081716604,0.4166666666666667
173,1.811009161142631,10,10,10.0,0.09769821030569102,0.4166666666666667
175,1.594978550258648,14,14,14.0,0.08604404283516653,0.5833333333333334
176,2.071488157423308,7,7,7.0,0.11175022743783443,0.2916666666666667
177,1.3417661458269063,7,7,7.0,0.07238403532610808,0.2916666666666667
178,0.6649062888423897,8,8,8.0,0.03586958908585234,0.3333333333333333
179,1.5946547467498695,9,9,9.0,0.08602657466108043,0.375
180,2.176630584943091,9,9,9.0,0.11742232850517387,0.375
181,0.8831858670810531,10,10,10.0,0.047645081224579805,0.4166666666666667
182,1.0033867565135743,11,11,11.0,0.05412953863466836,0.4583333333333333
183,4.116968845566049,12,12,12.0,0.22209743425169337,0.5
184,1.5374794828144318,13,13,13.0,0.08294215019758218,0.5416666666666666
185,1.2813893248696901,14,14,14.0,0.06912689699791462,0.5833333333333334
188,2.6501020439357132,15,15,15.0,0.14296461463321208,0.625
194,1.5515301789614506,19,19,19.0,0.08370014076801459,0.7916666666666666
196,2.512302946530007,20,20,20.0,0.13553078962164616,0.8333333333333334
198,2.787521424520499,20,21,20.5,0.15037795512453211,0.8541666666666666
199,3.010752195210109,21,21,21.0,0.1624205484197393,0.875
200,2.7342074313706544,21,21,21.0,0.14750183399453,0.875
205,5.194314105968663,11,11,11.0,0.2802168000069969,0.4583333333333333
208,1.5626829245481253,10,10,10.0,0.08430179608108067,0.4166666666666667
209,1.2117601865497456,11,11,11.0,0.06537062544228431,0.4583333333333333
210,1.3285537165637633,11,11,11.0,0.07167126659997686,0.4583333333333333
211,1.6379496938913047,11,11,11.0,0.08836219998079388,0.4583333333333333
212,1.544370744585441,12,12,12.0,0.08331391195131668,0.5
214,2.1462838275906346,13,13,13.0,0.11578521702858395,0.5416666666666666
216,1.2802643183258917,15,15,15.0,0.06906620645682318,0.625
217,2.6742003863474824,15,15,15.0,0.14426464390720986,0.625
218,2.44965268417212,16,16,16.0,0.13215100632795718,0.6666666666666666
219,2.314636801976416,16,16,16.0,0.12486732696487671,0.6666666666666666
220,4.000180600860257,17,17,17.0,0.21579707821964544,0.7083333333333334
221,3.4896515625719897,17,17,17.0,0.18825565301869307,0.7083333333333334
222,2.8122979057978035,17,17,17.0,0.15171456784323192,0.7083333333333334
223,3.8783569717262814,17,18,17.5,0.2092250791405109,0.7291666666666666
224,4.861871790502741,18,19,18.5,0.2622825896519216,0.7708333333333334
225,2.366061052064315,19,19,19.0,0.1276415024399086,0.7916666666666666
227,4.596625130597891,20,21,20.5,0.24797337216242193,0.8541666666666666
228,1.6425230002640336,21,21,21.0,0.08860891537980009,0.875
229,3.03366457751132,21,22,21.5,0.16365659890070747,0.8958333333333334
230,5.06417476769767,22,22,22.0,0.2731961947487546,0.9166666666666666
231,1.0218738824925901,0,0,0.0,0.055126860548107004,0.0
232,3.312193412697484,0,0,0.0,0.1786823476931918,0.0
233,5.851426427151422,1,1,1.0,0.3156659292145315,0.041666666666666664
237,3.963303704538355,10,10,10.0,0.2138076864210942,0.4166666666666667
239,4.259230725914218,11,11,11.0,0.2297720122731371,0.4583333333333333
240,3.7359063241003083,11,11,11.0,0.20154031772209632,0.4583333333333333
241,3.6982389782764757,12,12,12.0,0.19950828367560253,0.5
242,0.5063625923675574,12,12,12.0,0.027316658635148847,0.5
243,2.524918879135078,13,13,13.0,0.13621137924167603,0.5416666666666666
244,2.2337796685903104,13,13,13.0,0.12050534062501363,0.5416666666666666
245,2.0848682578515416,14,14,14.0,0.11247204149244917,0.5833333333333334
246,2.2586855635373797,15,15,15.0,0.12184893480145334,0.625
247,6.536694784511928,16,16,16.0,0.35263398742744595,0.6666666666666666
248,4.824908038890443,17,17,17.0,0.2602885122854508,0.7083333333333334
249,4.672921411240219,17,18,17.5,0.2520893149371306,0.7291666666666666
250,4.367242735497885,18,18,18.0,0.2355989182072779,0.75
251,3.6216165882739246,20,20,20.0,0.19537474833342303,0.8333333333333334
252,3.138395787429062,21,21,21.0,0.16930651608039596,0.875
253,2.834712475354085,21,21,21.0,0.15292376290276408,0.875
254,3.4758111637034044,21,21,21.0,0.1875090073205981,0.875
255,3.145152250605576,22,22,22.0,0.16967100587675085,0.9166666666666666
256,4.1894124817368175,22,23,22.5,0.22600553905523568,0.9375
257,7.333285577878306,6,7,6.5,0.39560753859865194,0.2708333333333333
259,7.50636159073703,9,10,9.5,0.4049444415066822,0.3958333333333333
260,2.897529905116221,10,10,10.0,0.1563125643486342,0.4166666666666667
261,2.1094394456379533,10,11,10.5,0.11379757927730658,0.4375
262,1.737793393316436,11,11,11.0,0.09374845144402788,0.4583333333333333
263,2.9963043445108557,12,12,12.0,0.1616411326186672,0.5
264,3.5634280543128036,12,12,12.0,0.19223566116021037,0.5
265,3.25684003604914,12,13,12.5,0.17569620828045246,0.5208333333333334
266,3.047963408969938,13,13,13.0,0.16442797558556546,0.5416666666666666
267,6.089845533527695,14,14,14.0,0.32852788513139036,0.5833333333333334
268,3.7834409008731225,14,14,14.0,0.20410465763709285,0.5833333333333334
270,4.228383825764446,15,16,15.5,0.22810791967616223,0.6458333333333334
272,1.2728318887448344,16,16,16.0,0.06866525041315844,0.6666666666666666
273,0.9652279529843383,17,17,17.0,0.052070992000999926,0.7083333333333334
274,3.5777594638843837,17,18,17.5,0.19300879533111528,0.7291666666666666
275,6.631689545333145,0,0,0.0,0.35775865400549595,0.0
277,4.502673698632732,0,1,0.5,0.24290498987281406,0.020833333333333332
278,3.2444493800989265,1,1,1.0,0.1750277716226911,0.041666666666666664
279,5.154103923118304,6,7,6.5,0.2780475879539413,0.2708333333333333
280,7.115708039753742,7,9,8.0,0.3838699193013114,0.3333333333333333
283,5.052742559947732,9,10,9.5,0.27257946333680133,0.3958333333333333
284,5.09035398758514,12,12,12.0,0.27460848077418326,0.5
285,2.8201586437512987,13,13,13.0,0.15213862976749848,0.5416666666666666
286,3.1619593510128974,14,15,14.5,0.17057769572982004,0.6041666666666666
287,6.828210158019111,15,16,15.5,0.36836031884493997,0.6458333333333334
288,3.758286801531279,17,17,17.0,0.20274767361940896,0.7083333333333334
289,2.720779717818111,18,18,18.0,0.14677745136260933,0.75
290,1.8397529660034633,18,18,18.0,0.09924884757055584,0.75
291,1.4864058470811286,18,18,18.0,0.08018688925688089,0.75
292,0.7683126492391508,19,19,19.0,0.04144803482856451,0.7916666666666666
293,6.466414164515758,19,19,19.0,0.34884257049807604,0.7916666666666666
295,5.955693884366996,21,21,21.0,0.32129082840425155,0.875
296,9.885603093547802,23,23,23.0,0.5332969875329958,0.9583333333333334
297,1.45307058395481,6,6,6.0,0.0783885573558673,0.25
298,1.6544049476559433,6,6,6.0,0.08924990882149175,0.25
299,1.9743921114536187,6,6,6.0,0.10651220317902138,0.25
300,3.0277820169921372,7,7,7.0,0.16333925338580324,0.2916666666666667
303,5.104267713287655,8,9,8.5,0.2753590822228045,0.3541666666666667
304,10.594301951464185,9,10,9.5,0.5715290470662744,0.3958333333333333
305,4.039998924166273,10,10,10.0,0.21794515069097228,0.4166666666666667
306,4.682227823001534,10,10,10.0,0.25259136638609986,0.4166666666666667
307,7.504801172692283,11,12,11.5,0.40486026189369545,0.4791666666666667
308,2.0272446807790674,13,13,13.0,0.10936343195463723,0.5416666666666666
309,0.9072742778269982,13,13,13.0,0.04894457471665158,0.5416666666666666
310,1.2712927763274506,15,15,15.0,0.06858222017131096,0.625
311,1.2790487036168956,15,15,15.0,0.06900062789209895,0.625
312,3.8175182258901352,10,11,10.5,0.2059430214276255,0.4375
313,5.107727383525048,12,12,12.0,0.2755457204782553,0.5
315,1.8018223211898552,12,12,12.0,0.0972026093772094,0.5
316,1.7844381765337283,13,13,13.0,0.0962647898139294,0.5416666666666666
317,2.390113401430824,14,14,14.0,0.12893905053473578,0.5833333333333334
318,2.9170428411583047,14,14,14.0,0.1573652254671004,0.5833333333333334
319,2.8760008409586346,14,14,14.0,0.1551511395017132,0.5833333333333334
320,1.4153535969335038,15,15,15.0,0.07635384532394161,0.625
321,1.7701446762353912,15,15,15.0,0.09549370072828926,0.625
322,1.5609839813495574,16,16,16.0,0.08421014347463754,0.6666666666666666
323,2.235124590804954,16,16,16.0,0.12057789492025979,0.6666666666666666
324,2.940996344830312,17,17,17.0,0.15865744114967012,0.7083333333333334
325,1.4967005185482527,18,18,18.0,0.08074225418799394,0.75
326,1.3583624916029389,18,18,18.0,0.07327935563410133,0.75
327,0.6537887293301564,19,19,19.0,0.035269831950097766,0.7916666666666666
328,1.8540396083730677,19,19,19.0,0.10001956669265412,0.7916666666666666
329,1.7337332733597997,19,19,19.0,0.09352942082734148,0.7916666666666666
330,5.330643810762058,13,14,13.5,0.2875713559394552,0.5625
331,2.1948991227294785,0,0,0.0,0.11840785827770459,0.0
332,11.857404302279821,1,1,1.0,0.6396694197133898,0.041666666666666664
333,5.186417894568121,5,5,5.0,0.2797908244025767,0.20833333333333334
334,7.876181257574364,6,7,6.5,0.424895041625711,0.2708333333333333
335,3.261515640318557,14,14,14.0,0.1759484423270939,0.5833333333333334
337,3.4761692491698355,19,19,19.0,0.18752832489775753,0.7916666666666666
339,5.534256535082423,12,12,12.0,0.29855561774684153,0.5
341,3.8183178541396736,14,14,14.0,0.20598615883994012,0.5833333333333334
343,3.973112759182478,14,15,14.5,0.2143368538621451,0.6041666666666666
344,2.888062817261263,16,16,16.0,0.15580184493313845,0.6666666666666666
345,2.2344911825097964,17,17,17.0,0.12054372454820565,0.7083333333333334
346,4.145128643423691,18,18,18.0,0.22361656618779346,0.75
347,1.1224781345577897,19,19,19.0,0.0605541414182442,0.7916666666666666
348,0.7381565485906565,19,19,19.0,0.039821208677504445,0.7916666666666666
349,0.77484030128406,19,19,19.0,0.04180018098882112,0.7916666666666666
350,3.845546478811962,20,20,20.0,0.2074550569309302,0.8333333333333334
351,2.7231587454729618,20,20,20.0,0.1469057923722153,0.8333333333333334
353,2.818548028419803,21,21,21.0,0.15205174216982406,0.875
354,2.758735108961117,21,21,21.0,0.14882502454207608,0.875
355,4.985958786551802,22,22,22.0,0.2689766902099517,0.9166666666666666
356,1.8730274745366173,7,8,7.5,0.10104390195362671,0.3125
357,1.5208475571305946,8,8,8.0,0.08204491046621444,0.3333333333333333
359,0.9465206140471197,11,11,11.0,0.051061790295694874,0.4583333333333333
360,1.2801126353343202,12,12,12.0,0.06905802363967994,0.5
361,1.2555918252592249,14,14,14.0,0.06773520357284435,0.5833333333333334
363,0.8360246863048735,15,15,15.0,0.04510088484137166,0.625
366,1.0921326678974692,7,7,7.0,0.05891709957040849,0.2916666666666667
367,0.45473365618667283,11,11,11.0,0.02453144099346851,0.4583333333333333
368,3.425622808651164,15,15,15.0,0.1848015044697032,0.625
369,1.010201571325977,22,22,22.0,0.05449717631702905,0.9166666666666666
370,2.7224164941504867,23,23,23.0,0.14686575026345142,0.9583333333333334
371,7.1545678961910815,0,0,0.0,0.385966285519729,0.0
372,8.728407691960006,1,1,1.0,0.4708699594787744,0.041666666666666664
373,2.8300227228165644,1,1,1.0,0.1526707656018541,0.041666666666666664
375,4.510299161469308,2,2,2.0,0.2433163594494406,0.08333333333333333
376,4.716495561467143,2,3,2.5,0.25444000237930553,0.10416666666666667
377,8.065810989564703,5,6,5.5,0.43512496526923083,0.22916666666666666
378,8.8848614709722,7,8,7.5,0.4793101454993738,0.3125
379,3.155993409204261,8,9,8.5,0.17025585205834798,0.3541666666666667
380,0.6675995993022846,9,9,9.0,0.03601488465772196,0.375
381,1.277391645648747,9,9,9.0,0.06891123486122175,0.375
382,1.9941249212124672,9,9,9.0,0.10757672578835253,0.375
383,2.891487849015556,9,9,9.0,0.15598661455209692,0.375
385,1.197937757036641,11,11,11.0,0.06462494913402375,0.4583333333333333
387,3.4409812900754604,12,12,12.0,0.18563004591519222,0.5
388,3.066079163061223,14,14,14.0,0.16540526316148246,0.5833333333333334
390,2.3016248798447605,22,22,22.0,0.12416537496365232,0.9166666666666666
393,2.2722973516785583,0,0,0.0,0.12258324767462199,0.0
394,2.689733963178782,7,7,7.0,0.14510263119552727,0.2916666666666667
395,2.19438211378729,7,7,7.0,0.1183799672822046,0.2916666666666667
396,1.2459265545599292,8,8,8.0,0.06721379282037447,0.3333333333333333
397,4.248172722617875,0,0,0.0,0.2291754680066655,0.0
398,4.247448301664532,0,0,0.0,0.22913638778986256,0.0
399,4.152695054501562,1,1,1.0,0.22402475010900497,0.041666666666666664
400,4.75180600181857,1,1,1.0,0.256344888837894,0.041666666666666664
401,3.8678592214767886,2,2,2.0,0.20865875875206819,0.08333333333333333
402,5.058875250751006,5,5,5.0,0.27291030258858073,0.20833333333333334
403,5.828223991947049,5,5,5.0,0.31441423129779056,0.20833333333333334
405,3.2433740460304636,7,7,7.0,0.17496976075437318,0.2916666666666667
407,3.134939478111202,8,8,8.0,0.16912005913591271,0.3333333333333333
408,3.7996763120020587,9,9,9.0,0.20498050666365072,0.375
